"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Cep55",0.219459797489114,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.466611315987075,1.64214981055472e-05,0.202955970810159,0.0265612054221471,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","19","controlled","descriptive_n1_sex_confounded_depth_matched"
"Atp2b4",0,-0.219345324585628,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.161627875566779,0.210506098196431,0.693868583104682,0.00217705354236874,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","1","controlled","descriptive_n1_sex_confounded_depth_matched"
"Csrnp1",0,0.212443241702035,FALSE,TRUE,FALSE,FALSE,"up_in_KO",-0.0145422913240447,0.869328393009366,1.98922522240053,1.07505755583058e-82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","9","controlled","descriptive_n1_sex_confounded_depth_matched"
"Gm48746",0.212112010606624,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.183840478358875,0.185735106303143,-0.0846314082048287,0.523866918216241,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Gm",NA,"controlled","descriptive_n1_sex_confounded_depth_matched"
"Reg3b",-0.210644857606164,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.464384309273267,0.0603117711228986,-0.129307369907956,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","controlled","descriptive_n1_sex_confounded_depth_matched"
"Sdc4",0.0483793721223871,0.209949681813563,TRUE,TRUE,TRUE,TRUE,"up_in_KO",0.470278295756307,5.48714920700542e-13,1.64595761102249,1.20511543902604e-107,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","2","controlled","descriptive_n1_sex_confounded_depth_matched"
"Slc22a1",-0.209133490727451,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.00426659510419,6.26695493476563e-18,0.624317636312465,0.00217365482717267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","17","controlled","descriptive_n1_sex_confounded_depth_matched"
"Ctnnbip1",0,0.208711586629131,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.190889833220259,0.00304862590167593,0.219646098890824,0.000411614259222285,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","4","controlled","descriptive_n1_sex_confounded_depth_matched"
"Igfbp4",0,0.20613667793732,FALSE,TRUE,FALSE,FALSE,"up_in_KO",0.142718642045341,0.178171489733848,0.88269014633059,1.80956747682049e-08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","11","controlled","descriptive_n1_sex_confounded_depth_matched"
"Fosl2",-0.206002051582207,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.476299922817313,5.16275424347037e-13,0.840316627604429,4.11014927336712e-12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","controlled","descriptive_n1_sex_confounded_depth_matched"
