"gene","weight_P0","weight_P7","nonzero_P0","nonzero_P7","in_both","same_sign","direction","DE_log2FC_P0","DE_padj_P0","DE_log2FC_P7","DE_padj_P7","in_shared_KO_up","in_CONFOUND","removed_by_ubiquity","ubiquitous_cm_dominant","in_E2F_TARGETS","in_hallmark_E2F","class","chr","feature_space","NOTE"
"Pitx3",-1.12566400848722,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.22126393390179,0.0117629301239117,0.0416528202396796,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","19","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Cldn13",-1.10448036835892,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",0.0418473159088191,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Ssu2",0,-1.0927111193938,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.00281617093563506,0.99012081005265,-0.107932078992124,0.414026263566842,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Cytl1",1.08506527346467,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.0853154855774543,0.554662478210863,0.255510112961228,0.0567329679308775,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","5","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Dock9",-1.05049339747411,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-2.82851483988219,1.75395257623662e-13,0.0255935143496904,0.91940221992549,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","14","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"mt-Atp8",-1.04063128256204,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-1.69353625381232,0,0.614469249180506,8.03343728947075e-120,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"mito","MT","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Serpinb9b",-0.996444794362395,0,TRUE,FALSE,FALSE,FALSE,"down_in_KO",-0.0282094346135153,NA,-0.0097870001669111,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","13","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Adamts9",0.605739268847193,0.993067883357618,TRUE,TRUE,TRUE,TRUE,"up_in_KO",2.93213456442067,0,3.49256801384474,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"A2m",0.969110439431823,0,TRUE,FALSE,FALSE,FALSE,"up_in_KO",0.057439636401589,0.676794645790171,0.000992338057300879,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","6","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
"Calcrl",0,-0.950262302984033,FALSE,TRUE,FALSE,FALSE,"down_in_KO",-0.00917914806910091,0.969350583107149,0.10852753115626,0.632699226401681,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"other","2","naive_no_controls","descriptive_n1_sex_confounded_depth_matched"
